Name,pos_m0_1,pos_m0_2,pos_m0_3,pos_m0_4,pos_m0_5,pos_m0_6,pos_m100_1,pos_m100_2,pos_m100_3,pos_m100_4,pos_m100_5,pos_m100_6,pos_m200_1,pos_m200_2,pos_m200_3,pos_m200_4,pos_m200_5,pos_m200_6,pos_m300_1,pos_m300_2,pos_m300_3,pos_m300_4,pos_m300_5,pos_m300_6,pos_m500_1,pos_m500_2,pos_m500_3,pos_m500_4,pos_m500_5,pos_m500_6,pos_m700_1,pos_m700_2,pos_m700_3,pos_m700_4,pos_m700_5,pos_m700_6,TARGET
"beta,beta-Dimethylacrylalkannin",190756243.6,171442617,171268198.4,74694589.75,223195810.1,161248171.8,163889054.2,149525326.3,153655984.5,137587232.9,159362505.1,146314674.4,109636327.8,114471909,116367649.6,115127714.2,159986526.1,100117165.4,168212116.1,98406269.15,154179494.1,150737685.4,147701036.5,144172795.6,140059263.3,121021387.5,133640707.5,149068291.5,172994479.2,114555124.7,171876017.5,202028987.7,135411202.2,134863200.2,171443035.7,155866266.2,0
Epigallocatechin,75950288.16,45473023.94,56164211.91,33524385.61,83950247.53,54101970.69,118600599.6,111964938,135764034.6,101367073.5,117215067.2,109508384,36061597.71,43306355.95,45149202.45,43142750.09,47155520.84,69101010.93,54007334.18,63128123.98,75232363.76,65085250.32,69113436.92,96385515.64,196241448,209340659.8,186691867.8,167402814.5,236834532.5,174910300.8,209588075.1,196410260.4,184675032.7,164668272,166358346.8,153266199.9,1
3-Methoxy prostaglandin F1α,59838029.26,63059355.71,33793392.12,17140566.86,45947014.84,47847096.08,48032377.59,29166015.1,39924118.64,50351916.74,51743805.34,87044314.82,99976043.66,83309207.99,105283675.5,145006337.1,123639442,134594556.6,34857136.59,52917122.41,31661294.76,32920704.06,53946240.82,68532131.81,187775786.1,76667508.64,117148725,87808982.9,128728326.2,160108768.7,157366719.3,147335269.8,131816606.8,176142151.8,132751250.3,115378913.9,0
Stearamide,24394605.33,81546892.69,40779587.99,44660938.46,16470670.54,18080238.71,27491360.64,36566843.57,16370848.29,30505404.02,20993010.41,37781791.64,27191845.67,20245547.12,21063725.46,14896882.64,7188768.22,9620988.989,34745538.85,33789441.12,37564324.37,19538953.2,24308582.64,31908585.27,32516631.24,41880476.34,38994343.58,22930964.21,22394978.77,43761289.49,24959804.51,23876693.31,198094961.1,154676287,63459154.41,225273016.8,0
(+)-epipinoresinol-4-O-beta-D-glucoside,146706826.8,103431413,69838592.59,66823892.01,82629943.18,53302956.7,47608360.1,44677882.28,53794180.73,65601856.96,35767136.73,59475363.98,42545916.28,38742261.44,43273180.63,73447676.19,39638386.29,48863155.23,74733031.63,72606383.12,84231186.24,75244022.42,86842344.83,54756821.66,50781875.18,44785404.33,63180824.26,54415130.17,90933991.63,40234295.95,58382326.58,61921337.63,67254720.19,50184880.3,63038359.68,83475238.24,1
"2,4-dihydroxyheptadec-16-en-1-yl acetate",12781600.4,12881347.49,14334136.79,10978904.81,19435580.8,14764291.06,64316438.45,55364980.72,56085369.77,67219187.88,51390296.7,62476494.29,52343262.97,57448198.37,49567211.74,55547549.89,73888881.16,51797447.33,39909659.26,58302064.67,39236687.91,49679960.71,47210996.21,55818076.37,133060559.7,113725907.8,104897561.5,127476846.4,115296085.6,164264709.8,78834142.45,61099914.84,45894146.77,71820099.49,46543515.48,65682002.69,1
7-Hydroxycoumarine,132570447.5,124966187.8,127357726.5,103417976.6,129817084.8,91755238.81,19902109.02,18549713,18769298.91,20658067.96,17702331.36,17276882.65,24320942.09,19034479.25,23352162.15,21099618.94,24400516.53,23660022.33,31629432.86,25615814.3,32433311.61,31001529.07,33321171.85,26274772.83,24161407.99,29768959.26,27337516.29,24107602.23,22886223.41,22755411.35,122556287.6,149047794.9,131900778.3,75098257.54,126647284.1,148721903.1,1
Leucylproline,15648656.35,72505381.87,74917197.66,14916714.94,29860739,95765561.14,30798488.67,53328352.29,36205789.15,26346223.76,96881580.78,69470639.04,48984776.22,59233167.3,57720043.03,64423293.84,57548831.74,59495415.49,22742180.28,58041228.42,38923719.7,120879281.6,93952966.8,63205662.88,32700889.93,20036578.35,23862648.84,48348651.57,60638922.81,53068607.14,42353200.14,36885629.54,39105611.53,32584128.06,29526630.81,71385987.8,0
"3,14-dihydro-15-keto-tetranor Prostaglandin E2",32686021.1,16879328.94,24942179.32,22954447.05,33075998.59,37460743.9,40999220.25,39397865.71,37248566.36,38793762.67,37768136.34,46547997.15,39730561.95,38110013.8,35638443.93,45101488.15,47559334.42,45705522.07,25235774.62,38135778.23,31984155.95,44296002.92,31061917.54,39043498.78,112447927.2,86406877.87,77070102.23,135588444.4,120807511.8,68970158.42,103595554.2,91357676.64,91205292,93123665.33,82804549.57,87046886.82,0
"1,2-dihydroxyheptadec-16-yn-4-yl acetate",37080894.09,32391189.15,30619855.62,32075274.1,27824074.8,19024755.78,43037489.99,52388483.85,38460001.46,26941964.6,46176155.51,41747142.88,40319060.72,39812836.89,33924948.53,64854732.59,48563264.25,46054222.12,72972055.93,63806233.05,64848404.61,69528021.48,79504348.84,70948787.34,126620101.3,82287222.52,95468714.51,81937478.58,100784268.9,84867573.86,41662238.59,42346600.92,44515248,38877100.16,41169549.45,42987358.34,0
"2-[(3S)-1-(2-Methylbenzyl)-3-pyrrolidinyl]-1,3-benzoxazole",56636287.98,40789603.71,65991141.04,44679622.67,39666701.82,70190178.63,33131274.04,36805042.2,40769898.45,47193960.18,36964665.98,44862573.72,27505451.31,39015126.31,44351913.61,37602149.55,50249728.01,38196102.27,12728068.4,16656456.48,20769690,18697983.3,15133849.11,18015425.19,87500447.65,118071099.5,105631100.2,116486262.9,38088130.76,77067238.74,13417296.04,16517141.19,17234840.14,32140893.6,19394324.95,23033386.73,0
N-(p-Coumaroyl) serotonin,15545524.92,5020566.795,27284632.03,7313563.927,17431184.36,19714737.69,36629636.61,31772419.27,29103301.32,38617875.35,20763972.44,28744982.42,20032300.88,14347027.43,21926003.45,16298975.31,29152279.56,22118612.57,12652210.44,22592883.38,15656162.56,4886995.431,17626945.36,13172518.03,120345496.4,103661777.8,115930111.6,83697119.1,122444218.3,101826109.9,91189559.87,83970430.22,62785862.21,107003962.1,72766065.61,64724240.33,0
Gamma-Linolenic Acid,27542864.5,40609573.33,33972180.62,30663566.36,40113013.8,28573690.24,69075699.05,68705594.58,79515951.95,67776106.72,77238254.39,76418242.69,18868057.71,53157332.37,52719714.52,56653889.88,76988068.22,61956528.72,51766041.11,65329354.72,51417166.37,62850268.87,60900830.72,57731936.74,90836179.7,72955066.2,72256072.73,114851131.2,87428188.45,79179998.61,39309856.4,47336730.31,42748113.67,57463580.1,41277954.66,54032838.56,1
GPK,33861431.55,33920317.71,40247142.82,22719544.03,21085596.14,38595224.77,25085204.3,29110545.4,37213387,25736921.66,30698528.09,35618451.68,15435135.13,17488678.46,31777655.03,18631635.27,17560161.1,48959193.55,13594674.51,14270303.46,16195074.7,14674806.2,11391595.11,14000388.61,88744710.49,112248764.6,95832221.58,112920317.8,74030580.07,76946251.17,11347478.17,20207974.39,9541812.213,20821940.77,19085402.67,19706157.44,0
(+)-ar-Turmerone,18532247.22,12327434.56,46340358.96,13358373.9,15382733.14,56236946.09,12784818.09,11564143.06,15422289.94,9890027.318,10600283.35,14843572.2,12977911.56,9957398.004,25483528.95,17224465.46,87276360.18,34887369.06,4991315.932,4818151.448,5111655.374,4335318.654,3590126.192,4857926.026,45651888.21,50194590.39,6034075.677,12518510.29,6064981.393,33010825.44,1637114.58,1157800.582,1710174.066,2658732.379,1888610.191,1955620.242,0
Caprolactam,16741819.57,14318799.93,18404443.39,17428287.43,30508639.15,19858688.75,14989824.31,15667126.61,10372588.85,18317147.75,12314706.85,16842935.24,15858620.53,15407000.08,14592857.26,14677328.56,15174267.35,11997979.53,17110873.17,26940579.49,26724062.79,21343897.58,19294388.43,18933396.84,21356225.33,35590003.99,37140021.22,28466064.43,34155455.48,48097071.37,109958683.7,128051868.7,82753534.86,130813816.9,152030202.3,103865696.1,0
ethyl 5-cyano-6-piperazino-2-(trifluoromethyl)nicotinate,25153134.52,35860299.69,34467809.87,35754845.1,40109207.87,25329760.73,52458128.99,45442814.25,49331148.9,46289158.04,39445860.48,34389499.8,47150748.44,55540896.21,48845105.69,44506218.04,48979986.53,47663372.19,76817701.32,77593392.22,81143942.84,88696105.3,69026203.86,11468980.59,64541501.49,87350016.28,77970464.97,54934199.3,68031690.36,71062122.05,86782815.2,95471125.66,94535930.24,90976238.48,97967485,86207088.91,0
T-2 Toxin,49736331.62,37530254.68,39036841.94,28887545.12,44988924.81,35322500.53,71811117.13,74833031.89,71477526.9,62460253.17,72192215.98,92854003.11,47556007.73,44511281.34,44271924.93,67011034.47,53194128.16,55731355.12,33954767.72,38775457.74,38436105.07,31377405.26,39251611.41,49588773.44,45209843.24,34928499.99,29232053.47,33622853.88,35079190.59,46772862.95,7506374.019,10517025.79,8765297.482,4917191.556,7216866.779,7735585.984,0
Atractylenolide I,4731948.763,3293763.841,3753376.49,3448442.629,6501120.424,5031132.857,4964888.763,5820645.721,7328258.394,5369945.955,6056732.036,8851801.596,6037198.934,5513735.804,6619968.099,8182768.119,75920074.63,7980103.025,1833585.689,1910899.203,1948295.105,1389016.748,1906907.323,1680280.164,4104189.639,2853248.216,869620.8792,1105507.895,888562.7626,3219180.383,1740236.835,948453.2124,1912308.107,1637530.157,2909154.814,1876818.71,0
Vitamin C,64010772.06,52759430.26,70902271.41,99238701.97,92230427.3,64666731.87,68338595.92,61069931.62,70739963.42,44625813.53,66502447.86,43609750.96,58154967.97,56952294.14,63299543.57,42626091.62,42202193.99,52345445.99,22465627.73,34466302.33,61162699.34,51349432.7,40822491.46,40108257.81,21751763.77,35109442.9,36551047.47,38550936.91,30452816.22,21056936.92,63356465.97,55788792.79,51999201.2,48142232.76,50754334.01,58393341.55,0
Pterosin B,57067196.27,29185516.79,43741712.06,34328550.14,58591222.35,53031606.99,59487615.92,53777119.61,69982029.44,57989922.62,68376556.22,64659258.07,14635417.17,14899630.23,15381678.69,19509797.79,19506725.64,14993273.72,17506119.86,16521501.86,15341283.35,29087023.05,20560685.08,20704299.01,10197362.15,9079101.398,7881197.305,11942953.03,10509882.65,10427552.59,5660901.322,4607238.984,4371831.018,4006069.712,4076140.172,3781964.551,0
